Timestamp,RaterID,ChatbotID,TestDay,SimplePrompt_Training_Accuracy_EnergyAvailability,SimplePrompt_Training_Accuracy_DailyCarbIntake,SimplePrompt_Training_Accuracy_DailyProtein,SimplePrompt_Training_Accuracy_PostSessionCarbs,SimplePrompt_Training_Accuracy_PostSessionProtein,SimplePrompt_Training_Accuracy_Hydration,SimplePrompt_Training_Accuracy_Supplements,SimplePrompt_Training_Accuracy_Individualization,SimplePrompt_Training_Accuracy_Disclaimer,SimplePrompt_Training_Completeness,SimplePrompt_Training_Clarity,SimplePrompt_Training_Evidence,SimplePrompt_Training_ExtraInfoYN,SimplePrompt_Training_ExtraInfo,SimplePrompt_Training_ExtraInfo_notes,SimplePrompt_Racing_Accuracy_CarbsDaysBefore,SimplePrompt_Racing_Accuracy_CarbsDaysBeforeFoods,SimplePrompt_Racing_Accuracy_CarbsHoursBefore,SimplePrompt_Racing_Accuracy_CarbsHoursBeforeFoods,SimplePrompt_Racing_Accuracy_CarbsDuringRace,SimplePrompt_Racing_Accuracy_CarbsDuringRaceFoods,SimplePrompt_Racing_Accuracy_HydrationBeforeRace,SimplePrompt_Racing_Accuracy_HydrationDuringRace,SimplePrompt_Racing_Accuracy_Supplements,SimplePrompt_Racing_Accuracy_Individualization,SimplePrompt_Racing_Accuracy_Disclaimer,SimplePrompt_Racing_Completeness,SimplePrompt_Racing_Clarity,SimplePrompt_Racing_Evidence,SimplePrompt_Racing_ExtraInfoYN,SimplePrompt_Racing_ExtraInfo,SimplePrompt_Racing_ExtraInfo_notes,DetailedPrompt_Training_Accuracy_EnergyAvailability,DetailedPrompt_Training_Accuracy_DailyCarbIntake,DetailedPrompt_Training_Accuracy_DailyProtein,DetailedPrompt_Training_Accuracy_PostSessionCarbs,DetailedPrompt_Training_Accuracy_PostSessionProtein,DetailedPrompt_Training_Accuracy_Hydration,DetailedPrompt_Training_Accuracy_Supplements,DetailedPrompt_Training_Accuracy_Individualisation,DetailedPrompt_Training_Accuracy_Disclaimer,DetailedPrompt_Training_Completeness,DetailedPrompt_Training_Clarity,DetailedPrompt_Training_Evidence,DetailedPrompt_Training_ExtraInfoYN,DetailedPrompt_Training_ExtraInfo,DetailedPrompt_Training_ExtraInfo_notes,DetailedPrompt_Racing_Accuracy_CarbsDaysBefore,DetailedPrompt_Racing_Accuracy_CarbsDaysBeforeFoods,DetailedPrompt_Racing_Accuracy_CarbsHoursBefore,DetailedPrompt_Racing_Accuracy_CarbsHoursBeforeFoods,DetailedPrompt_Racing_Accuracy_CarbsDuringRace,DetailedPrompt_Racing_Accuracy_CarbsDuringRaceFoods,DetailedPrompt_Racing_Accuracy_HydrationBeforeRace,DetailedPrompt_Racing_Accuracy_HydrationDuringRace,DetailedPrompt_Racing_Accuracy_Supplements,DetailedPrompt_Racing_Accuracy_Individualization,DetailedPrompt_Racing_Accuracy_Disclaimer,DetailedPrompt_Racing_Completeness,DetailedPrompt_Racing_Clarity,DetailedPrompt_Racing_Evidence,DetailedPrompt_Racing_ExtraInfoYN,DetailedPrompt_Racing_ExtraInfo,DetailedPrompt_Racing_ExtraInfo_notes
25/10/2024 14:18:58,RaterA_TS,A,Test1,1,2,5,3,3,4,4,4,4,2,3,1,Yes,4,"Healthy Fats: Provide essential fatty acids and support overall health. Aim for 20-30% of your daily calorie intake.
Antioxidants: Help protect cells from damage. Include fruits, vegetables, and whole grains in your diet.
Recovery: Prioritize adequate sleep and rest to allow your body to recover from training.",3,1,1,4,3,5,4,2,1,4,5,1,3,1,Yes,4,"Electrolyte Replacement: If you're sweating heavily, consider consuming sports drinks with electrolytes to replenish sodium, potassium, and magnesium.
Post-Race Nutrition:
Carbohydrate and Protein: Consume a meal or snack containing both carbohydrates and protein within 30-60 minutes after the race to aid in recovery.  
Hydration: Continue to drink plenty of fluids to rehydrate.  
These recommendations are partially supported by evidence and potentially useful.",1,2,2,1,3,2,3,4,1,1,3,3,Yes,3,"The majority of the additional info was specific to racing not training and is therefore rather irrelevant. However, some of the info was useful, e.g.,:
Healthy fats: Focus on consuming healthy fats, such as unsaturated fats found in avocados, nuts, and seeds. 
Recovery: Adequate sleep, stress management, and proper recovery techniques are essential for optimizing performance.",4,5,2,4,4,5,3,2,1,4,5,1,3,3,Yes,2,"Pre-Marathon Nutrition
Hydration recommendation: Aim for 6-8 cups of fluid per day.
During the Marathon Nutrition
Hydration recommendation: Aim for 4-6 ounces of fluid every 15-20 minutes.
These are both random recommendations that are not supported by consensus evidence."
28/10/2024 12:20:41,RaterA_TS,B,Test1,3,4,5,4,5,4,3,5,5,3,3,1,Yes,4,"There was a large amount of extra info. Some of it was useful (e.g. healthy fats, specific micronutrient considerations) but some info was a misleading and not based on consensus evidence (e.g. the specific volumes of water to consume for hydration).",5,1,3,5,4,5,3,2,1,5,1,2,3,1,Yes,3,"Some of the additional info was not based on consensus evidence (e.g., Electrolytes: For races longer than an hour, electrolyte supplements are important to replace sodium and potassium lost through sweat. Sodium intake during the race can help prevent hyponatremia (low blood sodium levels), which can be dangerous. Electrolyte tablets, salt packets, or sports drinks can help maintain balance.). But, other info was useful and based on evidence (e.g., the  Post-Race Recovery section).",1,4,5,1,5,1,1,5,1,1,3,1,Yes,2,This chatbot seemed to misunderstand the question and provided information specific to a race rather than general training. This could be due to a memory effect causing carryover to this prompt (which is unusual because each prompt was entered into a new chat with memory turned off). ,5,5,5,5,5,5,5,2,1,5,1,3,3,2,Yes,4,The info regarding electrolytes and hydration is somewhat useful but the specific doses of fluid for consumption during the marathon is not based on consensus evidence because the amount is highly variable between people.
28/10/2024 12:36:55,RaterA_TS,C,Test1,1,4,4,2,2,5,1,5,1,1,2,1,Yes,3,"Fat intake: Fats should make up 20-30% of total daily calories. Focus on unsaturated fats from sources like nuts, seeds, avocados, and olive oil. This is info is somewhat useful but not supported by consensus evidence because the amount of fat in the diet (% of daily kcals) is dependent on the training load and subsequent total daily carb intake.",2,1,1,1,4,5,1,2,1,1,1,1,3,1,Yes,4,The post-race recovery info is potentially useful and partially based on consensus evidence,1,4,5,3,3,2,1,2,1,1,3,1,No,,,5,5,5,5,4,5,2,1,1,1,1,1,3,3,Yes,4,"The additional info about grams of carbs, etc, is useful. E.g. For a 70 kg athlete, this would equate to 560-840 grams of carbohydrates per day in the 3-4 days before the marathon."
28/10/2024 14:37:55,RaterA_TS,D,Test1,1,4,5,2,2,4,3,5,4,1,3,1,Yes,4,The info about fats in the diet and the suggestions of foods is potentially useful and supported by evidence.,3,5,2,5,4,5,1,3,4,5,1,1,3,1,Yes,4,The info about post-race recovery and to practice the nutrition plan is potentially useful and supported by consensus evidence,4,4,4,3,3,2,1,5,1,1,3,3,Yes,3,"The info about post-exercise recovery is useful and supported by evidence, but the info about creatine and beta-alanine is not useful for an endurance athlete nor is it based on consensus evidence.",5,5,5,5,5,5,1,1,1,1,1,1,3,3,Yes,5,The answer provides info about how to feed (frequency) and the answer provides an example of how many grams would be needed for a 70 kg person. This info is very useful and supported by consensus evidence.
28/10/2024 15:09:47,RaterA_TS,E,Test1,1,4,5,3,3,3,2,5,5,1,3,1,Yes,5,"The extra info suggests specific timing of meals and suggested foods and meal plans as well as stating that ""consistent, healthy eating habits are key to supporting your training and achieving your endurance goals"". This is very useful info and supported by consensus evidence.",4,5,5,5,4,5,1,3,1,3,5,1,3,1,Yes,5,The info about tapering training leading into the race and Post-Race Nutrition is useful and supported by consensus evidence,1,2,5,2,2,4,2,5,5,1,2,3,Yes,5,The extra info and nutrient timing and suggested foods is very useful and supported by consensus evidence.,4,5,4,5,4,5,1,2,1,5,1,1,3,3,Yes,4,The suggested hydration plan is somewhat random and not supported by consensus evidence but other aspects of extra info (post-race recovery and the detailed breakdown of how many grams to consume for a 70 kg person) are very useful and supported by evidence.
28/10/2024 16:05:11,RaterA_TS,F,Test1,2,3,4,2,2,3,1,1,1,1,2,1,Yes,3,The info about fat intake is somewhat useful but the range of per cent total kcal is not based on evidence since it depends on the training load which influences total carbohydrate intake,4,1,5,2,4,1,1,3,5,2,1,1,2,1,Yes,5,The info about post-race recovery and the dosage info about caffeine (consider 3-6 mg/kg of caffeine about an hour before the race for improved endurance) is very useful and supported by consensus evidence.,1,4,5,4,5,3,4,5,1,1,3,3,No,,,5,5,5,5,5,5,1,1,1,5,1,1,3,3,Yes,5,The extra info suggested gram intakes for a 70 kg athlete and included specific ways an athlete could feed during the marathon. This is very useful and supported by consensus evidence.
28/10/2024 22:02:19,RaterB_ML,F,Test1,3,4,3,2,2,3,1,2,1,2,3,1,No,,,5,2,4,3,4,1,1,3,5,4,1,2,3,1,Yes,3,"Post-race recovery information on consuming carbs and protein within 30 minutes after finishing. This is potentially useful, but the window is much larger than 30 minutes.
Replace electrolytes, especially sodium) Sports drinks or electrolyte tablets to help with electrolytes. This is not really supported by the consensus unless a specific situation. ",1,5,4,3,4,2,4,5,1,3,3,3,Yes,3,Limit mass loss to 2-3% via fluid intake. This is partially correct depending on the event and the duration of the training. ,5,5,5,5,5,5,1,1,1,4,1,2,3,3,Yes,4,"Added that up to 90g/h is possible because of multiple transportable carbohydrates. This is both true, consensus, and recommended.
Added to start fueling at 30-45 minutes in and continue at regular intervals and gave example of a gel. This is potentially useful, but not necessarily backed by consensus sources. "
28/10/2024 22:36:34,RaterB_ML,E,Test1,4,4,5,4,3,3,2,3,5,2,3,1,Yes,4,"Provided a sample meal plan for an athlete. It seemed like a fine meal recommendation, but not really supported as necessary. 
Said that timing was important as what you ate - which is more mixed information than consensus these days,  
Said listen to your body - which is not really consensus, but also is still potentially good information. ",4,1,4,5,4,5,3,3,2,5,4,2,3,1,Yes,4,"Gave info on why to supplement with CHO during - avoid fatigue and maintain BG. 
Also suggested to NOT try new foods or supplements on race day which is good advice, but not necessarily present in consensus statements, ",2,3,3,2,2,2,2,4,5,1,3,2,Yes,3,"Info about fat consumption and also examples of different foods in each of the macro categories.
Probably useful to know not to cut out all fats, but the number of 20-30% is not really validated as the correct percentage and will vary depending on total EE. 
Recommendation for foods high in anti-oxidants is not supported as a role to reduce ROS or protect against cellular damage. That brings the overall extra info from a 4 to a 3. ",4,5,5,5,4,5,2,4,2,5,1,2,3,2,Yes,4,"Did extra math to tell how much CHO for a 70 kg runner. for days before and prior to the race. Also the timing of the food which is reasonable given 30-60g/h, but not when the number is 90g/hour. "
28/10/2024 23:06:43,RaterB_ML,D,Test1,2,5,5,2,2,5,4,5,2,2,3,1,Yes,4,Info on fats and micronutrients. Generally reasonable advice to eat a variety of foods and to make sure that healthy fats are consumed. Not sure if 20-35% of the diet needs to be fats. ,4,5,3,5,4,5,4,4,5,5,1,2,3,1,No,,,4,5,4,3,3,4,3,5,5,2,3,1,Yes,4,"Information about Fats in the diet and their use in low-intensity runs. That is true, but there are no general guidelines from the consensus sources. 
The supplements suggested were for ergogenic purposes and not necessarily to fill in the gaps from dietary preferences.  ",5,5,5,5,5,5,1,1,1,1,1,3,3,2,Yes,4,"Info on the CHO counts for different meals and foods for days prior, pre-race, and during the race. Useful and pretty accurate. "
28/10/2024 23:24:26,RaterB_ML,C,Test1,1,5,4,1,1,4,3,5,1,2,3,1,Yes,3,fat intake of 20-30% and various sources focused on unsaturated fats. No explanation for why this recommendation by the bot. Hence I've marked it down a level from a 4 -->3. ,3,1,1,1,4,5,1,2,1,3,1,1,2,1,Yes,4,Added post-race recommendations and advice to be consistent and not try anything new on race day. Both are potentially useful suggestions without a ton of evidence to support them. ,1,4,5,3,3,3,1,1,1,1,3,3,No,,,5,5,5,5,4,5,5,1,1,1,1,3,3,3,Yes,4,"Provides amount of CHO in each of the different foods. Also provides timing of the foods, 15-20 minutes. Accurate amounts and advice for regular consumption. "
