Question,Answer
69,A
109,D
10,A
107,C
39,D
102,D
110,C
19,D
55,B
90,A
21,A
89,C
25,B
43,D
77,C
95,C
58,E
70,A
6,B
32,A
23,A
63,B
59,D
99,A
105,C
92,C
51,E
71,D
108,B
68,A
46,C
84,C
62,A
73,A
100,D
104,A
30,B
35,A
18,A
53,D
33,A
86,D
101,A
42,A
20,B
97,B
41,C
36,C
93,D
44,C
2,D
27,A
52,B
106,B
22,D
49,C
24,C
26,A
45,B
65,B
17,D
85,A
75,A
7,E
54,A
5,E
98,D
57,E
29,C
88,C
103,B
16,A
67,C
74,E
66,A
76,C
3,A
60,B
48,A
13,B
14,A
81,A
1,A
111,B
80,True
61,C
11,False
56,E
83,A
31,C
64,A
34,D
79,D
47,D
82,D
96,D
28,B
87,C
4,D
50,B
72,B
91,B
15,A
8,C
94,C
37,B
12,C
9,B
38,A
78,A
40,A
