Question,Answer
69,B
109,D
10,A
107,A
39,D
102,D
110,C
19,D
55,B
90,A
21,A
89,B
25,B
43,D
77,E
95,C
58,E
70,A
6,B
32,E
23,A
63,B
59,D
99,C
105,C
92,C
51,E
71,B
108,B
68,A
46,A
84,C
62,D
73,C
100,D
104,D
30,B
35,A
18,A
53,D
33,A
86,D
101,B
42,A
20,C
97,A
41,A
36,C
93,D
44,C
2,C
27,A
52,B
106,B
22,D
49,C
24,C
26,A
45,B
65,B
17,D
85,C
75,A
7,E
54,A
5,A
98,D
57,E
29,C
88,C
103,B
16,A
67,C
74,C
66,A
76,B
3,A
60,B
48,A
13,B
14,A
81,D
1,A
111,B
80,A
61,C
11,B
56,E
83,B
31,C
64,A
34,D
79,D
47,B
82,D
96,A
28,C
87,D
4,B
50,B
72,A
91,D
15,C
8,C
94,A
37,B
12,D
9,A
38,E
78,A
40,A
