Question,Answer
46,E
82,D
55,C
8,C
106,B
71,C
91,B
73,E
33,A
1,A
45,B
42,A
34,B
98,D
108,B
48,A
36,C
61,C
19,D
56,B
15,A
109,D
80,A
99,C
93,D
89,B
12,D
60,B
47,D
100,D
65,B
96,D
10,A
49,C
77,E
31,C
97,D
59,D
54,A
17,A
11,B
52,D
90,A
104,D
6,A
7,A
39,D
57,E
51,E
28,B
50,C
25,C
9,B
24,C
92,C
41,A
111,B
53,D
81,D
13,B
27,A
76,C
5,E
107,C
83,B
4,D
67,C
16,A
29,C
62,D
3,A
74,C
22,D
43,D
103,B
110,A
63,B
78,B
23,A
44,C
40,A
105,C
18,A
79,D
102,D
32,A
21,A
35,A
75,A
70,C
87,C
30,B
14,A
