Question,Answer 
69,C 
109,D 
10,A 
107,A 
39,D 
102,D 
110,C 
19,D 
55,D 
90,A 
21,A 
89,D 
25,A 
43,D 
77,E 
95,B 
58,E 
70,A 
6,B 
32,E 
23,A 
63,B 
59,D 
99,C 
105,C 
92,C 
51,E 
71,C 
108,B 
68,A 
46,E 
84,C 
62,D 
73,C 
100,D 
104,D 
30,B 
35,A 
18,A 
53,D 
33,A 
86,D 
101,D 
42,C 
20,C 
97,B 
41,A 
36,C 
93,D 
44,C 
2,C 
27,A 
52,B 
106,B 
22,D 
49,C 
24,C 
26,A 
45,B 
65,B 
17,D 
85,C 
75,A 
7,E 
54,A 
5,E 
98,D 
57,E 
29,C 
88,C 
103,B 
16,A 
67,C 
74,C 
66,A 
76,E 
3,A 
60,D 
48,A 
13,B 
14,A 
81,D 
1,A 
111,D 
80,A 
61,C 
11,B 
56,E 
83,A 
31,C 
64,A 
34,D 
79,D 
47,D 
82,D 
96,E 
28,B 
87,C 
4,D 
50,B 
72,A 
91,B 
15,C 
8,C 
94,C 
37,B 
12,C 
9,B 
38,A 
78,A 
40,A
