Question,Answer
46,E
82,D
55,B
8,C
106,B
71,C
91,B
73,C
33,C
1,A
45,B
86,D
42,C
34,D
98,D
108,B
48,A
36,C
61,C
19,D
56,E
15,C
109,D
80,A
99,C
93,D
89,C
94,D
12,C
60,A
47,D
100,D
65,B
96,E
10,A
68,A
69,B
72,B
58,E
88,C
84,C
20,C
64,A
2,C
26,A
95,B
101,D
37,B
66,A
85,C
38,A
49,C
77,E
31,C
97,D
59,D
54,A
17,D
11,A
52,B
90,A
104,D
6,B
7,E
39,D
57,E
51,E
28,A
50,B
25,B
9,B
24,C
92,C
41,A
111,D
53,D
81,D
13,B
27,A
76,E
5,E
107,A
83,C
4,D
67,C
16,A
29,C
62,D
3,A
74,C
22,A
43,D
103,B
110,C
63,B
78,A
23,A
44,C
40,A
105,C
18,A
79,D
102,D
32,E
21,A
35,A
75,A
70,A
87,C
30,B
14,A
