"Question","Chatbot_A_Day1_Answer","Chatbot_A_Day2_Answer","Chatbot_B_Day1_Answer","Chatbot_B_Day2_Answer","Chatbot_C_Day1_Answer","Chatbot_C_Day2_Answer","Chatbot_D_Day1_Answer","Chatbot_D_Day2_Answer","Chatbot_E_Day1_Answer","Chatbot_E_Day2_Answer","Chatbot_F_Day1_Answer","Chatbot_F_Day2_Answer","correctAnswer","Chatbot_A_Day1_Answer_score","Chatbot_A_Day2_Answer_score","Chatbot_B_Day1_Answer_score","Chatbot_B_Day2_Answer_score","Chatbot_C_Day1_Answer_score","Chatbot_C_Day2_Answer_score","Chatbot_D_Day1_Answer_score","Chatbot_D_Day2_Answer_score","Chatbot_E_Day1_Answer_score","Chatbot_E_Day2_Answer_score","Chatbot_F_Day1_Answer_score","Chatbot_F_Day2_Answer_score"
1,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
2,"D","D","C","C","C",NA,"C","D","C ","C ","C","C","C",0,0,1,1,1,0,1,0,1,1,1,1
3,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
4,"D","D","B","D","D","D","D","D","D ","D ","D","D","D",1,1,0,1,1,1,1,1,1,1,1,1
5,"E","E","A","A","E","E","A","A","E ","E ","E","E","E",1,1,0,0,1,1,0,0,1,1,1,1
6,"B","B","B","B","A","A","B","B","B ","B ","B","B","B",1,1,1,1,0,0,1,1,1,1,1,1
7,"E","E","E","E","E","A","E","E","E ","E ","E","E","E",1,1,1,1,1,0,1,1,1,1,1,1
8,"C","C","C","C","C","C","C","C","C ","C ","C","C","C",1,1,1,1,1,1,1,1,1,1,1,1
9,"B","B","A","B","B","B","B","B","B ","B ","B","B","B",1,1,0,1,1,1,1,1,1,1,1,1
10,"A","A","A","A","C","A","A","A","A ","A ","A","A","A",1,1,1,1,0,1,1,1,1,1,1,1
11,"False","False","B","B","A","B","A","A","B ","A ","A","B","A",0,0,0,0,1,0,1,1,0,1,1,0
12,"C","C","D","C","D","D","C","C","C ","C ","C","C","C",1,1,0,1,0,0,1,1,1,1,1,1
13,"B","B","B","B","B","B","B","B","B ","B ","B","B","B",1,1,1,1,1,1,1,1,1,1,1,1
14,"A","A","A","A","A","A","A","A","A ","A ","A","A","A",1,1,1,1,1,1,1,1,1,1,1,1
